Date,open,high,low,close,volume,Dividends,Stock Splits,bb_middle,bb_upper,bb_lower,rsi,bb_pct,price_below_lower,price_above_upper,price_reversal_up,price_reversal_down,rsi_oversold,rsi_overbought,rsi_rising,rsi_falling,signal,returns,strategy_returns,cumulative_returns
2023-09-21 00:00:00-04:00,131.94000244140625,132.24000549316406,129.30999755859375,129.3300018310547,70234800,0.0,0.0,137.47900009155273,145.75242897165677,129.2055712114487,36.274532512968996,0.007519894194365967,False,False,False,True,False,False,False,True,0,-0.04405345369833069,-0.0,1.0146578916426003
2023-09-22 00:00:00-04:00,131.11000061035156,132.02999877929688,128.52000427246094,129.1199951171875,59904300,0.0,0.0,137.34300003051757,146.08299161557647,128.60300844545867,35.813381155702984,0.029575925027927007,False,False,False,False,False,False,False,True,0,-0.0016238050792075631,-0.0,1.0146578916426003
2023-09-25 00:00:00-04:00,129.36000061035156,131.77999877929688,128.77000427246094,131.27000427246094,46017800,0.0,0.0,137.24350051879884,146.22128293895128,128.2657180986464,40.91461098464789,0.16731783157669375,False,False,True,False,False,False,True,False,0,0.01665124873434287,0.0,1.0146578916426003
2023-09-26 00:00:00-04:00,130.1199951171875,130.38999938964844,125.27999877929688,125.9800033569336,73048200,0.0,0.0,136.8855007171631,147.04545421126588,126.72554722306032,37.11540513185107,-0.036690318836570736,True,False,False,True,False,False,False,True,0,-0.040298626825268746,-0.0,1.0146578916426003
2023-09-27 00:00:00-04:00,125.76000213623047,127.4800033569336,124.12999725341797,125.9800033569336,66553400,0.0,0.0,136.4390007019043,147.69073413605847,125.18726726775013,32.49780579243797,0.03522728714746949,False,False,False,False,False,False,False,True,0,0.0,0.0,1.0146578916426003
2023-09-28 00:00:00-04:00,124.04000091552734,126.58000183105469,123.04000091552734,125.9800033569336,54555000,0.0,0.0,135.98450050354003,148.16509096572676,123.80391004135332,31.73281642540327,0.08932626551790378,False,False,False,False,False,False,False,True,0,0.0,0.0,1.0146578916426003
2023-09-29 00:00:00-04:00,128.1999969482422,129.14999389648438,126.31999969482422,127.12000274658203,62377600,0.0,0.0,135.44000091552735,148.19922315328643,122.68077867776827,23.187950898513577,0.17396138989085538,False,False,False,False,True,False,False,True,0,0.009049050319664742,0.0,1.0146578916426003
2023-10-02 00:00:00-04:00,127.27999877929688,130.47000122070312,126.54000091552734,129.4600067138672,48029700,0.0,0.0,135.00700149536132,147.9694372176456,122.04456577307703,30.55834904830533,0.2860357844645645,False,False,True,False,False,False,True,False,0,0.01840783446134786,0.0,1.0146578916426003
2023-10-03 00:00:00-04:00,128.05999755859375,128.52000427246094,124.25,124.72000122070312,51565000,0.0,0.0,134.37950134277344,148.0750140812765,120.68398860427038,17.935671067681582,0.1473479924956021,False,False,False,True,True,False,False,True,0,-0.03661366636292884,-0.0,1.0146578916426003
2023-10-04 00:00:00-04:00,126.05999755859375,127.36000061035156,125.68000030517578,127.0,44203900,0.0,0.0,133.96150131225585,148.03607532135686,119.88692730315485,23.583797488625294,0.2526922908020393,False,False,True,False,True,False,True,False,0,0.018280939360016735,0.0,1.0146578916426003
2023-10-05 00:00:00-04:00,126.70999908447266,126.7300033569336,124.33000183105469,125.95999908447266,39660600,0.0,0.0,133.36700096130372,147.75105437104457,118.98294755156287,26.148777872805354,0.242527309033243,False,False,False,False,True,False,True,False,0,-0.008188983586829512,-0.0,1.0146578916426003
2023-10-06 00:00:00-04:00,124.16000366210938,128.4499969482422,124.12999725341797,127.95999908447266,46795900,0.0,0.0,132.8535011291504,147.23984717044948,118.46715508785131,31.12438852859883,0.32992547132434136,False,False,True,False,False,False,True,False,0,0.015878056641289273,0.0,1.0146578916426003
